Zeile;Time;Concentration;Mean 10s;TimeMean
324;19.08.2019 12:34;10.381;392.205;19.08.2019 13:27:27
325;19.08.2019 12:34;8.3045;404.992;19.08.2019 13:27:37
326;19.08.2019 12:34;12.457;392.803;19.08.2019 13:27:47
327;19.08.2019 12:34;7.2664;404.775;19.08.2019 13:27:57
328;19.08.2019 12:34;15.571;401.58;19.08.2019 13:28:07
329;19.08.2019 12:34;13.495;407.04;19.08.2019 13:28:17
330;19.08.2019 12:34;8.3045;408.659;19.08.2019 13:28:27
331;19.08.2019 12:34;9.3426;413.411;19.08.2019 13:28:37
332;19.08.2019 12:34;11.399;407.629;19.08.2019 13:28:47
333;19.08.2019 12:35;7.2539;718.382;19.08.2019 13:28:57
334;19.08.2019 12:35;11.399;1416.45;19.08.2019 13:29:07
335;19.08.2019 12:35;8.2902;1418.43;19.08.2019 13:29:17
336;19.08.2019 12:35;10.363;1255.93;19.08.2019 13:29:27
337;19.08.2019 12:35;4.1451;459.548;19.08.2019 13:29:37
338;19.08.2019 12:35;9.3103;419.118;19.08.2019 13:29:47
339;19.08.2019 12:35;6.2176;420.562;19.08.2019 13:29:57
340;19.08.2019 12:35;10.363;422.456;19.08.2019 13:30:07
341;19.08.2019 12:35;5.1903;433.336;19.08.2019 13:30:17
342;19.08.2019 12:35;4.1522;423.397;19.08.2019 13:30:27
343;19.08.2019 12:35;7.2664;419.402;19.08.2019 13:30:37
344;19.08.2019 12:35;7.2664;424.197;19.08.2019 13:30:47
345;19.08.2019 12:35;6.2284;426.582;19.08.2019 13:30:57
346;19.08.2019 12:35;11.419;427.36;19.08.2019 13:31:07
347;19.08.2019 12:35;7.2539;427.877;19.08.2019 13:31:17
348;19.08.2019 12:35;9.3264;417.587;19.08.2019 13:31:27
349;19.08.2019 12:35;7.2539;425.139;19.08.2019 13:31:37
350;19.08.2019 12:35;9.3264;430.404;19.08.2019 13:31:47
351;19.08.2019 12:35;13.495;432.474;19.08.2019 13:31:57
352;19.08.2019 12:35;12.457;437.823;19.08.2019 13:32:07
353;19.08.2019 12:35;9.3426;439.548;19.08.2019 13:32:17
354;19.08.2019 12:35;3.1088;429.691;19.08.2019 13:32:27
355;19.08.2019 12:35;7.2664;426.659;19.08.2019 13:32:37
356;19.08.2019 12:35;8.3045;442.435;19.08.2019 13:32:47
357;19.08.2019 12:35;7.2664;435.325;19.08.2019 13:32:57
358;19.08.2019 12:35;9.3426;452.807;19.08.2019 13:33:07
359;19.08.2019 12:35;11.399;429.946;19.08.2019 13:33:17
360;19.08.2019 12:35;11.419;445.196;19.08.2019 13:33:27
361;19.08.2019 12:35;11.419;456.895;19.08.2019 13:33:37
362;19.08.2019 12:35;14.533;452.479;19.08.2019 13:33:47
363;19.08.2019 12:35;14.533;442.879;19.08.2019 13:33:57
364;19.08.2019 12:35;8.3045;446.444;19.08.2019 13:34:07
365;19.08.2019 12:35;12.457;460;19.08.2019 13:34:17
366;19.08.2019 12:35;8.3045;459.23;19.08.2019 13:34:27
367;19.08.2019 12:35;11.419;461.039;19.08.2019 13:34:37
368;19.08.2019 12:35;10.399;468.74;19.08.2019 13:34:47
369;19.08.2019 12:35;15.571;466.789;19.08.2019 13:34:57
370;19.08.2019 12:35;12.457;464.778;19.08.2019 13:35:07
371;19.08.2019 12:35;12.457;473.009;19.08.2019 13:35:17
372;19.08.2019 12:35;10.399;554.366;19.08.2019 13:35:27
373;19.08.2019 12:35;4.1594;581.653;19.08.2019 13:35:37
