DistrTotCts,timestart
590.109,19.09.2019 07:59:08
912.896,19.09.2019 08:02:07
917.739,19.09.2019 08:05:06
895.886,19.09.2019 08:08:05
768.335,19.09.2019 08:11:04
978.311,19.09.2019 08:14:03
791.68,19.09.2019 08:17:02
608.436,19.09.2019 08:20:01
476.408,19.09.2019 08:23:00
857.11,19.09.2019 08:25:59
411.423,19.09.2019 08:28:58
338.96,19.09.2019 08:31:57
2563.93,19.09.2019 08:34:56
1482.75,19.09.2019 08:37:55
2034.62,19.09.2019 08:40:54
1873.06,19.09.2019 10:54:34
796.107,19.09.2019 10:57:33
516.965,19.09.2019 11:00:32
682.939,19.09.2019 11:03:31
1322.15,19.09.2019 11:06:30
837.319,19.09.2019 11:09:29
640.564,19.09.2019 11:12:28
441.304,19.09.2019 11:15:27
345.581,19.09.2019 11:18:26
284.686,19.09.2019 11:21:25
228.572,19.09.2019 11:24:24
300.982,19.09.2019 11:27:23
194.778,19.09.2019 11:30:22
2393.84,19.09.2019 11:33:21
620.81,19.09.2019 11:36:20
277.838,19.09.2019 11:39:19
320.089,19.09.2019 11:42:18
217.239,19.09.2019 11:45:17
289.865,19.09.2019 11:48:16
274.001,19.09.2019 11:51:15
217.1,19.09.2019 11:54:14
211.789,19.09.2019 11:57:13
206.623,19.09.2019 12:00:12
219.879,19.09.2019 12:03:11
316.38,19.09.2019 12:06:10
468.09,19.09.2019 12:09:09
407.203,19.09.2019 12:12:08
634.549,19.09.2019 12:15:07
420.278,19.09.2019 12:18:06
332.296,19.09.2019 12:21:05
1033.79,19.09.2019 12:24:04
359.14,19.09.2019 12:27:03
349.198,19.09.2019 12:30:02
254.412,19.09.2019 12:33:01
310.711,19.09.2019 12:36:00
216.863,19.09.2019 12:38:59
412.242,19.09.2019 12:41:58
448.862,19.09.2019 12:44:57
375.012,19.09.2019 12:47:56
481.951,19.09.2019 12:50:55
430.384,19.09.2019 12:53:54
13048.4,19.09.2019 12:56:53
605.008,19.09.2019 12:59:52
2313.08,19.09.2019 13:02:51
12249.9,19.09.2019 13:05:50
2521.95,19.09.2019 13:08:49
6876.25,19.09.2019 13:11:48
583.486,19.09.2019 13:14:47
332.032,19.09.2019 13:17:46
379.308,19.09.2019 13:20:45
472.47,19.09.2019 13:23:44
447.627,19.09.2019 13:26:43
473.121,19.09.2019 13:29:42
2582.95,19.09.2019 13:32:41
7147.13,19.09.2019 13:35:40
11098.2,19.09.2019 13:38:39
8599.71,19.09.2019 13:41:38
5409.26,19.09.2019 13:44:37
3461.21,19.09.2019 13:47:36
130.078,19.09.2019 13:50:35
88.2884,19.09.2019 13:53:34
79.6638,19.09.2019 13:56:33
188.234,19.09.2019 13:59:32
238.542,19.09.2019 14:02:31
261.671,19.09.2019 14:05:30
236.208,19.09.2019 14:08:29
437.82,19.09.2019 14:11:28
631.999,19.09.2019 14:14:27
375.334,19.09.2019 14:17:26
339.159,19.09.2019 14:20:25
313.347,19.09.2019 14:23:24
210.148,19.09.2019 14:26:23
675.77,19.09.2019 14:29:22
4182.88,19.09.2019 14:32:21
474.027,19.09.2019 14:35:20
594.27,19.09.2019 14:38:19
376.373,19.09.2019 14:41:18
505.698,19.09.2019 14:44:17
775.897,19.09.2019 14:47:16
321.802,19.09.2019 14:50:15
479.823,19.09.2019 14:53:14
376.873,19.09.2019 14:56:13
183.742,19.09.2019 14:59:12
301.17,19.09.2019 15:02:11
241.591,19.09.2019 15:05:10
338.998,19.09.2019 15:08:09
706.301,19.09.2019 15:11:08
136.731,19.09.2019 15:14:07
138.071,19.09.2019 15:17:06
191.409,19.09.2019 15:20:05
163.465,19.09.2019 15:23:04
130.854,19.09.2019 15:26:03
126.938,19.09.2019 15:29:02
97.7558,19.09.2019 15:32:01
82.9218,19.09.2019 15:35:00
113.206,19.09.2019 15:37:59
88.9091,19.09.2019 15:40:58
99.5093,19.09.2019 15:43:57
67.1554,19.09.2019 15:46:56
57.7238,19.09.2019 15:49:52
82.2649,19.09.2019 15:52:51
63.7967,19.09.2019 15:55:50
67.6048,19.09.2019 15:58:49
74.4104,19.09.2019 16:01:48
108.223,19.09.2019 16:04:47
119.312,19.09.2019 16:07:46
194.994,19.09.2019 16:10:45
421.225,19.09.2019 16:13:44
1083.55,19.09.2019 16:16:43
1203.87,19.09.2019 16:19:42
389.855,19.09.2019 16:22:41
556.271,19.09.2019 16:25:40
480.981,19.09.2019 16:28:39
322.528,19.09.2019 16:31:38
443.981,19.09.2019 16:34:37
302.224,19.09.2019 16:37:36
160.663,19.09.2019 16:40:35
139.442,19.09.2019 16:43:34
875.866,19.09.2019 16:46:33
0,19.09.2019 16:49:32
0,19.09.2019 16:52:31
0,19.09.2019 16:55:30
0,19.09.2019 16:58:29
0,19.09.2019 17:01:28
0,19.09.2019 17:04:27
0,19.09.2019 17:07:26
0,19.09.2019 17:10:25
0,19.09.2019 17:13:24
0,19.09.2019 17:16:23
0,19.09.2019 17:19:22
0,19.09.2019 17:22:21
0,19.09.2019 17:25:20
0,19.09.2019 17:28:19
0,19.09.2019 17:31:18
0,19.09.2019 17:34:17
0,19.09.2019 17:37:16
0,19.09.2019 17:40:15
0,19.09.2019 17:43:14
0,19.09.2019 17:46:13
0,19.09.2019 17:49:12
0,19.09.2019 17:52:11
0,19.09.2019 17:55:10
0,19.09.2019 17:58:09
0,19.09.2019 18:01:08
0,19.09.2019 18:04:07
0,19.09.2019 18:07:06
0,19.09.2019 18:10:05
0,19.09.2019 18:13:04
0,19.09.2019 18:16:03
0,19.09.2019 18:19:02
0,19.09.2019 18:22:01
0,19.09.2019 18:25:00
0,19.09.2019 18:27:59
0,19.09.2019 18:30:58
0,19.09.2019 18:33:57
0,19.09.2019 18:36:56
0,19.09.2019 18:39:55
0,19.09.2019 18:42:54
0,19.09.2019 18:45:53
0,19.09.2019 18:48:52
0,19.09.2019 18:51:51
0,19.09.2019 18:54:50
0,19.09.2019 18:57:49
0,19.09.2019 19:00:48
0,19.09.2019 19:03:47
0,19.09.2019 19:06:46
0,19.09.2019 19:09:45
0,19.09.2019 19:12:44
0,19.09.2019 19:15:43
0,19.09.2019 19:18:42
0,19.09.2019 19:21:41
0,19.09.2019 19:24:40
0,19.09.2019 19:27:39
0,19.09.2019 19:30:38
0,19.09.2019 19:33:37
0,19.09.2019 19:36:36
0,19.09.2019 19:39:35
0,19.09.2019 19:42:34
0,19.09.2019 19:45:33
0,19.09.2019 19:48:32
0,19.09.2019 19:51:31
0,19.09.2019 19:54:30
0,19.09.2019 19:57:29
0,19.09.2019 20:00:28
0,19.09.2019 20:03:27
0,19.09.2019 20:06:26
0,19.09.2019 20:09:25
0,19.09.2019 20:12:24
0,19.09.2019 20:15:23
0,19.09.2019 20:18:22
0,19.09.2019 20:21:21
0,19.09.2019 20:24:20
0,19.09.2019 20:27:19
0,19.09.2019 20:30:18
0,19.09.2019 20:33:17
0,19.09.2019 20:36:16
0,19.09.2019 20:39:15
0,19.09.2019 20:42:14
0,19.09.2019 20:45:13
0,19.09.2019 20:48:13
0,19.09.2019 20:51:12
0,19.09.2019 20:54:11
0,19.09.2019 20:57:10
0,19.09.2019 21:00:09
0,19.09.2019 21:03:08
0,19.09.2019 21:06:07
0,19.09.2019 21:09:06
0,19.09.2019 21:12:05
0,19.09.2019 21:15:04
0,19.09.2019 21:18:03
0,19.09.2019 21:21:02
0,19.09.2019 21:24:01
0,19.09.2019 21:27:00
0,19.09.2019 21:29:59
0,19.09.2019 21:32:58
0,19.09.2019 21:35:57
0,19.09.2019 21:38:56
0,19.09.2019 21:41:55
0,19.09.2019 21:44:54
0,19.09.2019 21:47:53
0,19.09.2019 21:50:52
0,19.09.2019 21:53:51
0,19.09.2019 21:56:50
0,19.09.2019 21:59:49
0,19.09.2019 22:02:48
0,19.09.2019 22:05:47
0,19.09.2019 22:08:46
0,19.09.2019 22:11:45
0,19.09.2019 22:14:44
0,19.09.2019 22:17:43
0,19.09.2019 22:20:42
0,19.09.2019 22:23:41
0,19.09.2019 22:26:40
0,19.09.2019 22:29:39
0,19.09.2019 22:32:38
0,19.09.2019 22:35:37
0,19.09.2019 22:38:36
0,19.09.2019 22:41:35
0,19.09.2019 22:44:34
0,19.09.2019 22:47:33
0,19.09.2019 22:50:32
0,19.09.2019 22:53:31
0,19.09.2019 22:56:30
0,19.09.2019 22:59:29
0,19.09.2019 23:02:28
0,19.09.2019 23:05:27
0,19.09.2019 23:08:26
0,19.09.2019 23:11:25
0,19.09.2019 23:14:24
0,19.09.2019 23:17:23
0,19.09.2019 23:20:22
0,19.09.2019 23:23:21
0,19.09.2019 23:26:20
0,19.09.2019 23:29:19
0,19.09.2019 23:32:18
0,19.09.2019 23:35:17
0,19.09.2019 23:38:16
0,19.09.2019 23:41:15
0,19.09.2019 23:44:14
0,19.09.2019 23:47:13
0,19.09.2019 23:50:12
0,19.09.2019 23:53:11
0,19.09.2019 23:56:10
0,19.09.2019 23:59:09
